Date Name,Notes,Details,Address,Link to their website,Link to Picture,Category,"Price (0, $, $$, or $$$)",Tags
Game Pulse,"Game Pulse is a gamer's paradise. They host events for Magic the Gathering, Warhammer and Dungeons and dragons.",n/a,"52 E Main St., Rexburg, ID, United States, Idaho",https://www.facebook.com/GamePulse/,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/611281814_1448877820574339_3125014679834554125_n.webp?_nc_cat=106&ccb=1-7&_nc_sid=2a1932&_nc_ohc=0GRRdimCSmYQ7kNvwF9S2OM&_nc_oc=Adq4fg4O6fTvSTX-KWqBR_L6WHDchVGuVzzotJ9S0qYWyMv_hQtTtZH7t0EPYC0N-tk&_nc_zt=23&_nc_ht=scontent-sea1-1.xx&_nc_gid=ekYiZcy5boHCYdEPnH2mdw&_nc_ss=7a32e&oh=00_AfzDi_DpZIGl9iYiTHrrcrd55Ee-6tDz0HBy5uYw900NVQ&oe=69C8ADB2,Games,$,"indoor, low energy, short"
East Idaho Aquarium,Interactive exhibits and close-up encounters with marine life—easy to spend more time here than expected.,$13 per person.,"570 E Anderson St, Idaho Falls, ID 83401",https://eastidahoaquarium.com/,https://eastidahoaquarium.com/wp-content/uploads/2022/01/0d5d8c_1a0ae7b2de98442398c6279ecc072449_mv2_d_4192_2786_s_4_2-scaled.webp,Learning & Culture,$$,"indoor, low energy, long"
Museum of Idaho,Rotating exhibits and well-done displays make this more engaging than your typical museum.,$20 per person,"200 N Eastern Ave Idaho Falls, ID 83402",https://museumofidaho.org/,https://www.rexburgonline.com/wp-content/uploads/2017/05/23509290_1509444702472991_2140457728630182502_o.jpg,Learning & Culture,$$$,"indoor, low energy, long"
Custom Creatures Pet Shop,Exotic animals and interesting pets make this a fun place just to wander and look around.,n/a,"28 College Ave, Rexburg, ID 83440",https://customcreaturespetshop.com/,https://brightspotcdn.byui.edu/dims4/default/760ec18/2147483647/strip/false/crop/4032x1908+0+0/resize/1486x703!/quality/90/?url=https%3A%2F%2Fbyu-idaho-brightspot-production-us-east-2.s3.us-east-2.amazonaws.com%2F14%2F17%2Ff87430e3445c949972165251c699%2F20250327-191835.JPG,Nature,0,"indoor, low energy, short"
The Wanderful Workshop,"A magic wand shop where you can create your own wand! Potions, Quill & Ink, Swords & Blades and more.",Visit by appointment only.,"18 E Main St, Rexburg, ID 83440",https://www.facebook.com/p/The-Wanderful-Workshop-61554838991324/,https://byuiscroll.org/wp-content/uploads/2024/06/Wand-making-station-scaled.jpg,Creative,$$,"indoor, low energy, short"
BYU-Idaho Observatory,Stargazing here feels quiet and personal—great for slowing things down at the end of a date.,Open to the public and free of charge! Hours are 8:00pm -11:30pm Monday-Friday. Subject to close based on weather conditions.,"10 East 2nd South, ROM 118 Rexburg, ID 83460",https://www.byui.edu/physics/observatory,https://explorerexburg.com/wp-content/uploads/sites/11/2018/03/byu-i-planetarium_3.jpg,Learning & Culture,0,"indoor, low energy, short"
BYU-Idaho Plant Shops,"A calm, cozy place to browse greenery and maybe pick out a plant together.",Hours are Monday-Friday 8:00am - 5:00pm.,"505 S Center St BEN 275, Rexburg, ID 83460",https://www.byui.edu/agriculture-and-food-science/plant-sciences/our-shops,https://byuiscroll.org/wp-content/uploads/2024/03/plant-shop-7.jpg,Nature,0,"indoor, low energy, short"
Green Canyon Hot Springs,"Warm pools, mountain views, and a relaxed vibe—especially good in cooler weather.",n/a,"2432 Canyon Creek Road, Newdale, ID 83436",https://greencanyonhotsprings.com/,https://hotspringers.net/wp-content/uploads/2023/06/green-canyon-hot-springs03.jpg,Nature,$$,"indoor, high energy, long"
The Straw Maze,Seasonal fall fun with hay mazes and that classic autumn date atmosphere.,"Only open during fall, mid September through October. $10 per person for the regular straw maze, $20 per person for the haunted straw maze.","7600 S 2000 W Rexburg, ID",https://strawmaze.com/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGqIiRfBFJf6v6SgblDClbBAYKQIyToddb7Q&s,Active,$$,"outdoor, high energy, long"
Yellowstone Bear World,Drive through and see bears up close—it’s a little wild and definitely memorable.,$27.95 per person or carload Rate (Up to 7 People) is $139.95.,"6010 South 4300 West Rexburg, ID 83440",https://yellowstonebearworld.com/,https://yellowstonebearworld.com/wp-content/uploads/2025/03/Rectangle2-4.jpeg,Learning & Culture,$$$,"outdoor, low energy, short"
Japanese Friendship Garden,"Peaceful paths, water features, and a slower pace—perfect for good conversation.",n/a,"600 W Broadway St, Idaho Falls, ID 83402",https://www.idahofallsidaho.gov/1248/Japanese-Friendship-Garden,https://www.idahofallsidaho.gov/ImageRepository/Document?documentID=6474,Nature,0,"outdoor, low energy, short"
Idaho Falls River Walk,"An easy scenic walk along the river with great views, especially at sunset.",n/a,"525 River Pkwy, Idaho Falls, ID 83402",https://www.idahofallsidaho.gov/facilities/facility/details/River-Walk-69,https://www.idahofallsidaho.gov/ImageRepository/Document?documentID=2442,Nature,0,"outdoor, low energy, long"
Idaho Potato Museum,A quirky stop that leans into Idaho’s potato reputation with humor and history.,$8 per person.,"130 NW Main St, Blackfoot, ID 83221",https://www.idahopotatomuseum.com/,https://idahohighcountry.org/wp-content/uploads/idaho-potato-museum-blackfoot.jpg,Learning & Culture,$,"indoor, low energy, long"
Joe Marmo / Wayne Lehto Ice Arena,Ice skating here is equal parts fun and slightly chaotic—perfect for breaking the ice.,$8 per person.,"Tautphaus Park 390 Rogers St. Idaho Falls, ID 83402",https://www.idahofallsidaho.gov/785/Ice-Arena,https://static.where-e.com/United_States/Idaho_State/Joe-Marmowayne-Lehto-Ice-Arena_16d8c5b04270f79f7ca40efb79ba9fb4.jpg,Active,$,"indoor, high energy, long"
Craters of the Moon,A surreal volcanic landscape that feels like another planet—great for an adventurous day trip.,n/a,"1266 Craters Loop Road P.O. Box 29 Arco, ID 83213",https://www.nps.gov/crmo/index.htm,https://www.nps.gov/common/uploads/grid_builder/crmo/crop16_9/D9B5F448-0039-F2AF-9B8A3B0967FAC52C.jpg?width=1300&quality=90&mode=crop,Learning & Culture,0,"outdoor, low energy, long"
R Mountain,A short hike with a big payoff at the top—sunset views here are hard to beat.,n/a,"1098 Twin Butte Rd, Menan, ID 83434",https://www.rexburgonline.com/things-to-do/r-mountain/,https://www.rexburgonline.com/wp-content/uploads/2016/05/20170708-DJI_0003-Web.jpg,Nature,0,"outdoor, high energy, long"
Links Indoor Golf,"Practice your swing and play courses without worrying about the weather. Indoor virtual golf lets you compete, laugh at your misses, and enjoy a relaxed game together.",$40 for an hour session,"153 N 2nd E Unit A, Rexburg, ID 83440",https://www.linksindoor.com/,Links Indoor Golf,Fitness,$$,"indoor, high energy, long"
Fire and Fizz,"We have pottery painting, a custom soda bar, and a fun, welcoming space for families and friends to create and relax.",Pottery pieces range from $6.00 to $80. Each piece has a studio fee of $9.00 applied at checkout. Drinks range from $2.50 to $4.00. ,"14 W 1st S, Rexburg, ID 83440",https://www.fireandfizz.co/,Fire and Fizz,Creative,$$,"indoor, lazy, long"
Fat Cats Bowling,"Head to Fat Cats Rexburg for a classic bowling night. Challenge each other to a friendly game, celebrate strikes, and enjoy the upbeat atmosphere for a fun and easygoing date.",Pricing ranges from $20-39 per hour of bowling per lane.,"475 N 2nd E, Rexburg, ID 83440",https://www.fatcatsfun.com/bowling/,Fat Cats Bowling,Games,$$,"indoor, high energy, long"
Fat Cats Arcade,"Play, laugh, and win big! Our arcade is loaded with games, prizes, and nonstop fun for everyone, all at prices that let you keep the good times going.",Pricing rates are per games.,"475 N 2nd E, Rexburg, ID 83440",https://www.fatcatsfun.com/games/,Fat Cats Arcade,Games ,$,"indoor, high energy, short"
Fat Cats Glow Golf,Step into a fully immersive glow golf adventure! Putt through pirate ships and across lunar landscapes on themed courses that make you feel like you’re really there.,$10 per person,"475 N 2nd E, Rexburg, ID 83440",https://www.fatcatsfun.com/games/,Fat Cats Glow Golf,Games,$,"indoor, high energy, short"
Fat Cats Movie Theater,"Catch the latest movie at Fat Cats Rexburg and enjoy the big-screen experience together. Grab some popcorn, relax in comfortable seats, and share a fun escape into a great story.",Pricing ranges from $7-14 depending on time.,"475 N 2nd E, Rexburg, ID 83440",https://www.fatcatsfun.com/movies/,Fat Cats Movies,Learning & Culture,$$,"indoor, lazy, long"
Sunset Walk on the Greenbelt,"Take a peaceful evening stroll. The river views, colorful sunsets, and quiet paths make it a perfect place to talk, unwind, and enjoy the moment together.",n/a,"455 River Pkwy, Idaho Falls, ID 83402",https://www.idahofallsidaho.gov/Facilities/Facility/Details/Idaho-Falls-River-Walk-Greenbelt-47,Greenbelt,Nature,0,"outdoor, lazy, short"
Heise Hot Springs Soak,"
Heise Hot Springs has a natural mineral hot spring kept at a temperature of about 104 degrees Fahrenheit. It is perfect for soaking those sore muscles and joints, sitting and relaxing, or just warming up from the cold during the winter!",Day passes for Adults are $13.00 and Children for $10.00.,"5116 E Heise Rd, Ririe, ID 83443",https://heisehotsprings.net,Heise Hot Springs,Nature,0,"outdoor, lazy, long"
Teton Vu Drive-In Movie,Classic drive-in movie night. Bring blankets and snacks or buy food at our concession stand!,Tickets range from $1-7 based on age. Closed during winter season.,"1114 N Yellowstone Hwy, Rexburg, ID 83440",https://www.tetonvu.com,Teton Vu Drive-In,Learning & Culture,$,"outdoor, lazy, long"
Paramount 5 Movie Night,"Local downtown theater, cheaper and quieter than big chains",Tickets range from $6-8 based on age.,"2085 Niagara St, Idaho Falls, ID 83404",https://royaltheaters.com/?location=idaho-falls#movies,Paramount 5,Learning & Culture,$,"indoor, lazy, long"
Cress Creek Trail Hike,"Explore nature on the scenic trail. This moderate hike offers beautiful views, fresh mountain air, and plenty of opportunities to connect while enjoying the outdoors.",n/a,"E 600 N, Ririe, ID 83443",https://www.alltrails.com/trail/us/idaho/cress-creek-trail,Cress Creek Nature Trail,Nature,0,"outdoor, high energy, long"
SnakeBite Restaurant Dinner,"Enjoy a cozy dinner. Known for its creative burgers, sandwiches, and laid-back atmosphere. It’s a great place to relax, share good food, and have meaningful conversation.",n/a,"393 Park Ave, Idaho Falls, ID 83402",https://www.snakebiterestaurant.com,SnakeBite Restaurant,Food & Drink,$$$,"indoor, lazy, long"
The Art Museum of Eastern Idaho,Explore inspiring exhibits. Walk through galleries filled with local and regional artwork while discovering new perspectives together.,Tickets cost $5-8 or $20 per family.,"300 S Capital Ave, Idaho Falls, ID 83402",https://www.theartmuseum.org,The Art Museum of Eastern Idaho,Learning & Culture,$,"indoor, lazy, short"
Idaho Falls Farmers Market,"Spend a Saturday morning browsing fresh produce, handmade goods, and local treats. Enjoy live music, sample local food, and stroll through the lively community atmosphere.",Only open Saturday Mornings from 9am -1pm.,"425 River Pkwy, Idaho Falls, ID 83402",https://www.idahofallsfarmersmarket.org/,Idaho Falls Farmers Market,Food & Drink,$,"outdoor, high energy, long"
St. Anthony Sand Dunes Sunset,Watch the sunset over the stunning Sand Dunes. The sweeping sand hills and golden evening light make for a peaceful and memorable outdoor adventure.,n/a,"3027 E 600 N, St Anthony, ID 83445",https://www.blm.gov/visit/st-anthony-sand-dunes,St. Anthony Sand Dunes,Nature,$,"outdoor, high energy, long"
Rexburg Rapids,"Cool off and have some fun. With water slides, lazy rivers, and splash areas, it’s a playful way to spend a warm afternoon together.",Tickets range from $5-8. Closed during school year months. ,"50 W 2nd N, Rexburg, ID 83440",https://www.rexburgrapids.com,Rexburg Rapids,Fitness,$$,"outdoor, high energy, long"
Idaho Falls Zoo at Tautphaus Park,Take a relaxed walk through the zoo and see animals from around the world. It’s a fun and lighthearted outing with plenty to explore and talk about.,Tickets range from $9.50-12.50. Closed during winter season. ,"2725 Carnival Way, Idaho Falls, ID 83402",https://www.idahofallszoo.org,Idaho Falls Zoo at Tautphaus Park,Learning & Culture,$,"outdoor, high energy, long"
Gravity Factory,"Jump, climb, and play at an indoor adventure park filled with trampolines, obstacle courses, and foam pits. It’s a high-energy date where you can challenge each other, laugh a lot, and try something a little different together.","Tickets range from $8-13. Socks cost $3, or bring your own if you have a pair!","165 Airport Road, Rexburg, ID 83440",https://www.gravityfactory.net/,Gravity Factory ,Fitness,$$,
